ID,NAME,DESCRIPTION,LEVEL,CATEGORY,CATEGORY_NAME,VERSION,LATEST_VERSION
100,NULL,na,1,0,NULL,9.31,true
101,Administrative Support and Clerical Tasks,"The Administrative Support and Clerical Tasks subcategory includes skills related to providing administrative, clerical, secretarial, and general support to managers and other professionals, including a variety of basic administrative and clerical tasks such as data entry, filing, and notetaking.",1,1,Administration,9.31,true
102,Dictation,The Dictation subcategory includes skills and tools related to dictation and transcription.,1,1,Administration,9.31,true
105,Office Management,"The Office Management subcategory includes skills related to the design, implementation, evaluation, and maintenance of the process of work within an office.",1,1,Administration,9.31,true
106,Scheduling,"The Scheduling subcategory includes skills related to creating a schedule, including using software such as online calendaring tools.",1,1,Administration,9.31,true
408,Document Management,"The Document Management subcategory includes skills related to tracking, managing, and storing documents.",1,1,Administration,9.31,true
461,Office and Productivity Equipment and Technology,"The Office and Productivity Equipment and Technology subcategory includes productivity tools and software that allow a user to quickly and easily create a variety of documents and files, such as the Microsoft Office and Google Workplace software suites, as well as common office equipment such as calculators and printers.",1,1,Administration,9.31,true
107,Agricultural Management and Operations,The Agricultural Management and Operations subcategory includes skills related to the management and operation of agricultural businesses.,1,2,"Agriculture, Horticulture, and Landscaping",9.31,true
108,Agricultural Research and Agronomy,"The Agricultural Research and Agronomy subcategory includes skills related to agricultural science, research, and technology.",1,2,"Agriculture, Horticulture, and Landscaping",9.31,true
109,Aquaculture,The Aquaculture subcategory includes skills related to managed fisheries and other aquaculture operations.,1,2,"Agriculture, Horticulture, and Landscaping",9.31,true
110,Cannabis,The Cannabis subcategory includes skills related to the cannabis industry.,1,2,"Agriculture, Horticulture, and Landscaping",9.31,true
111,Agriculture and Crop Farming,"The Agriculture and Crop Farming subcategory includes skills related to planting, growing, and harvesting plants for food and other commercial uses.",1,2,"Agriculture, Horticulture, and Landscaping",9.31,true
112,Landscaping and Horticulture,"The Landscaping and Horticulture subcategory includes skills related to landscaping, gardening, and horticulture.",1,2,"Agriculture, Horticulture, and Landscaping",9.31,true
113,Livestock Farming,"The Livestock Farming subcategory includes skills related to the farming of animals for meat or other products, such as milk, leather, and wool.",1,2,"Agriculture, Horticulture, and Landscaping",9.31,true
114,Business Intelligence,"The Business Intelligence subcategory includes skills related to the strategies, research, and methods used to produce and analyze business performance data in order to gain key insights and guide future business decisions.",1,3,Analysis,9.31,true
115,Business Intelligence Software,The Business Intelligence Software subcategory includes software tools and technologies used to produce and analyze business performance data in order to gain key insights and guide future business decisions.,1,3,Analysis,9.31,true
116,Data Analysis,"The Data Analysis subcategory includes skills and tools related to inspecting, cleansing, transforming, and modeling data to discover useful information and support decision-making.",1,3,Analysis,9.31,true
118,Data Science,"The Data Science subcategory includes skills related to using scientific methods, processes, and algorithms to extract knowledge and insights from data.",1,3,Analysis,9.31,true
121,Data Visualization,The Data Visualization subcategory includes skills and tools related to graphically representing information and data for pattern analysis.,1,3,Analysis,9.31,true
122,Image Analysis,The Image Analysis subcategory includes skills related to processing and analyzing images in order to extract meaningful information.,1,3,Analysis,9.31,true
124,Mathematical Software,"The Mathematical Software subcategory includes tools and technologies used to analyze, model, or calculate mathematical data.",1,3,Analysis,9.31,true
125,Mathematics and Mathematical Modeling,The Mathematics and Mathematical Modeling subcategory includes skills related to understanding and using mathematics and mathematical models.,1,3,Analysis,9.31,true
126,Natural Language Processing (NLP),The Natural Language Processing (NLP) subcategory includes skills related to computational techniques and tools used to analyze and synthesize natural language and speech.,1,3,Analysis,9.31,true
128,Statistical Software,The Statistical Software subcategory includes software tools used for the statistical analysis of data.,1,3,Analysis,9.31,true
129,Statistics,"The Statistics subcategory includes skills related to the branch of mathematics that deals with the collection, analysis, and interpretation of numerical data.",1,3,Analysis,9.31,true
130,Architectural Design,The Architectural Design subcategory includes skills and tools related to designing architectural structures.,1,4,Architecture and Construction,9.31,true
131,Carpentry,The Carpentry subcategory includes skills related to the craft of constructing and repairing buildings and structural components using wood and other materials.,1,4,Architecture and Construction,9.31,true
133,Construction Estimating,The Construction Estimating subcategory includes skills related to estimating costs for a construction project.,1,4,Architecture and Construction,9.31,true
134,Construction Inspection,The Construction Inspection subcategory includes skills related to examining buildings and other structures to ensure compliance with regulations and building codes.,1,4,Architecture and Construction,9.31,true
135,Construction Management,"The Construction Management subcategory includes skills related to the overall planning, coordination, and control of a construction project from beginning to completion.",1,4,Architecture and Construction,9.31,true
136,Construction Painting,"The Construction Painting subcategory includes skills related to painting buildings and construction projects, including interior and exterior painting.",1,4,Architecture and Construction,9.31,true
138,Electrical Construction,The Electrical Construction subcategory includes skills related to designing and constructing electrical systems.,1,4,Architecture and Construction,9.31,true
140,General Construction and Construction Labor,The General Construction and Construction Labor subcategory includes skills related to the process of constructing a building.,1,4,Architecture and Construction,9.31,true
141,Green Architecture,The Green Architecture subcategory includes skills related to designing and constructing buildings and structures that minimize harmful effects on human health and the environment.,1,4,Architecture and Construction,9.31,true
142,Insulation,The Insulation subcategory includes skills related to installing insulation in buildings.,1,4,Architecture and Construction,9.31,true
143,Interior Design,"The Interior Design subcategory includes skills related to the planning, design, and decoration of interior spaces within private and commercial buildings.",1,4,Architecture and Construction,9.31,true
144,Concrete and Masonry,"The Concrete and Masonry subcategory includes skills related to building structures from concrete, stone, and brick.",1,4,Architecture and Construction,9.31,true
145,Road and Bridge Construction,The Road and Bridge Construction subcategory includes skills related to constructing and repairing roads and bridges.,1,4,Architecture and Construction,9.31,true
146,Roofing,The Roofing subcategory includes skills related to installing and repairing roofing.,1,4,Architecture and Construction,9.31,true
636,Heavy Equipment Operation,"The Heavy Equipment Operation subcategory includes skills related to the operation of heavy machinery and vehicles such as backhoes, forklifts, and cranes.",1,4,Architecture and Construction,9.31,true
148,Business Communications,The Business Communications subcategory includes skills related to sharing information between people within a business.,1,5,Business,9.31,true
149,Business Consulting,The Business Consulting subcategory includes skills related to giving expert advice to a business.,1,5,Business,9.31,true
150,Business Continuity,The Business Continuity subcategory includes skills and tools related to helping a business maintain essential functions during and after a disaster has occurred.,1,5,Business,9.31,true
151,Business Leadership,"The Business Leadership subcategory includes skills related to providing vision, direction, and leadership in order to ensure the overall success of an organization.",1,5,Business,9.31,true
152,Business Management,The Business Management subcategory includes skills and software tools related to the organization and coordination of the various activities of a running a business.,1,5,Business,9.31,true
153,Business Analysis,The Business Analysis subcategory includes skills related to the analysis and documentation of business processes.,1,5,Business,9.31,true
154,Business Solutions,The Business Solutions subcategory includes skills and software tools related to solving specific business problems.,1,5,Business,9.31,true
155,Business Strategy,The Business Strategy subcategory includes skills related to the analysis and planning of decisions and actions that need to be taken by a business to achieve its goals.,1,5,Business,9.31,true
156,Contract Management,"The Contract Management subcategory includes skills related to managing contracts made with customers, vendors, partners or employees.",1,5,Business,9.31,true
157,Internal Controls,"The Internal Controls subcategory includes skills related to mechanisms, rules, and procedures implemented by a company to ensure the integrity of financial and accounting information, promote accountability, and prevent fraud.",1,5,Business,9.31,true
158,Business Operations,The Business Operations subcategory includes skills related to a variety of day-to-day activities that are required in order for a business or organization to function efficiently and profitably.,1,5,Business,9.31,true
159,People Management,"The People Management subcategory includes skills related to supervising, managing, and providing ongoing support for the employees of a business.",1,5,Business,9.31,true
160,Performance Management,The Performance Management subcategory includes skills related to assessing and optimizing the performance of the employees of a business.,1,5,Business,9.31,true
161,Pricing Analysis,The Pricing Analysis subcategory includes skills related to examining and evaluating a proposed price and analyzing consumer response to the price.,1,5,Business,9.31,true
162,Process Improvement and Optimization,The Process Improvement and Optimization subcategory includes skills related to improving the performance of a particular process and aligning the process with business strategy.,1,5,Business,9.31,true
163,Product Management,The Product Management subcategory includes skills and software tools related to all stages of the product life cycle.,1,5,Business,9.31,true
164,Project Management,"The Project Management subcategory includes skills related to initiating, planning, executing, controlling, and closing the work of a team to achieve the goals of the project.",1,5,Business,9.31,true
276,Risk Management,"The Risk Management subcategory is related to protecting a company's economic value by identifying, handling, and minimizing various financial, operational, or strategic risks.",1,5,Business,9.31,true
546,Customer Relationship Management (CRM),"The Customer Relationship Management (CRM) subcategory includes skills related to practices, strategies, and technologies that companies use to manage and analyze customer interactions and data throughout the customer lifecycle.",1,5,Business,9.31,true
165,Client Support,"The Client Support subcategory includes skills related to ensuring ongoing client success and satisfaction with a product or service, such as client onboarding, client education, and customer advocacy.",1,6,Customer and Client Support,9.31,true
166,Customer Service,"The Customer Service subcategory includes skills related to interacting with customers in a helpful and positive way, such as answering questions, resolving complaints, and attentive service.",1,6,Customer and Client Support,9.31,true
167,Cash Register Operation,"The Cash Register Operation subcategory includes skills related to operating a cash register, such as cash handling.",1,6,Customer and Client Support,9.31,true
168,Insurance and Warranty Claims Processing,"The Insurance and Warranty Claims Processing subcategory includes skills related to the insurer fulfilling its obligation to receive, investigate, and act on a claim filed by the insured or by a warranty issuer.",1,6,Customer and Client Support,9.31,true
169,Payment Processing and Collection,The Payment Processing and Collection subcategory includes skills related to collecting payment and handling transactions.,1,6,Customer and Client Support,9.31,true
170,Animation and Game Design,The Animation and Game Design subcategory includes skills and software tools related to designing and creating animated motion graphics and video games.,1,7,Design,9.31,true
171,Art and Illustration,"The Art and Illustration subcategory includes skills related to creating and understanding creative visual art, such as art history, color theory, and watercolor painting.",1,7,Design,9.31,true
172,Creative Design,"The Creative Design subcategory includes skills related to creating a variety of unique, effective, and memorable designs.",1,7,Design,9.31,true
173,Digital Design,The Digital Design subcategory includes skills related to designing multimedia for viewing on a screen.,1,7,Design,9.31,true
174,Graphic and Visual Design,"The Graphic and Visual Design subcategory includes skills related to the creation of visual content through the use of typography, photography, and illustration in order to communicate a specific message or to promote a brand or product.",1,7,Design,9.31,true
175,Graphic and Visual Design Software,The Graphic and Visual Design Software subcategory includes software tools that are used in the Graphic and Visual Design process.,1,7,Design,9.31,true
176,Industrial Design,The Industrial Design subcategory includes skills related to designing manufactured products.,1,7,Design,9.31,true
177,Presentation Design,The Presentation Design subcategory includes skills and software tools related to designing presentations.,1,7,Design,9.31,true
178,User Interface and User Experience (UI/UX) Design,The User Interface and User Experience (UI/UX) Design subcategory includes skills related to creating interfaces for software which users find accessible and pleasant.,1,7,Design,9.31,true
179,Economics,"The Economics subcategory includes skills related to understanding the production, distribution, and consumption of products and services, such as analysis, forecasting, and modeling.",1,8,"Economics, Policy, and Social Studies",9.31,true
180,"Policy Analysis, Research, and Development","The Policy Analysis, Research, and Development subcategory includes skills related to researching, identifying, and enacting policies which will achieve a given set of goals.",1,8,"Economics, Policy, and Social Studies",9.31,true
181,Social Studies,"The Social Studies subcategory includes skills related to the integrated study of the various social sciences and humanities, such as history and sociology.",1,8,"Economics, Policy, and Social Studies",9.31,true
182,Urban and Regional Planning,"The Urban and Regional Planning subcategory includes skills related to the technical and political process of designing and developing land, infrastructure, and built environments.",1,8,"Economics, Policy, and Social Studies",9.31,true
184,Childhood Education and Development,The Childhood Education and Development subcategory includes skills related to the education and development of children.,1,9,Education and Training,9.31,true
